representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00216127.12	 	PLSCR3	39099	1	1	6152831.719	6572396.25	4684646.412	6381164.694	7742259.592	5271669.601	5277479.462	6705490.859	6369031.255	4346296.838
IPI00020887.3	 	VAMP7	39099	2	2	10987066.597	11697746.217	9162729.567	11661240.649	11157689.474	6173154.577	6078687.593	7176808.968	6042577.841	4936641.417
IPI00215611.5	 	CRIP1	39099	4	14	118696617.895	137590533.899	169957320.61	171016293.438	164664182.033	136822983.535	145325769.364	172862929.514	175968298.805	166661872.143
IPI00304865.3	 	TGFBR3	39099	3	5	21110436.07	20831000.281	20416559.06	26484290.488	26895351.588	17004559.51	15529676.988	19680306.236	17494360.919	16381667.974
IPI00033486.2	 	POLG2	39099	7	9	131160403.848	139339805.642	123055030.759	147523079.024	169633386.629	119680297.128	129441723.763	152448367.412	142509586.517	127796676.526
IPI00396108.2	 	GPRC5C	39099	4	5	47415944.77	50833798.087	52751645.385	63391006.028	58813682.535	46844721.589	47202726.976	57455285.842	57516203.928	48986476.568
IPI00002134.4	 	PSMD5	39099	3	3	12771985.123	12998664.028	10971726.626	14442957.783	18446056.116	6670457.979	6293210.099	7244564.252	7353457.976	6415674.357
IPI00170972.2	 	C9ORF64	39099	2	2	5964370.049	6558243.039	6482766.701	7773951.814	8675974.276	3712672.826	3681411.503	4283539.167	4689642.987	5035136.959
IPI00425902.4	 	SSR2	39099	2	6	204409294.579	208822834.519	194621445.496	265347962.89	249440209.014	121759043.62	122281838.283	150383922.307	134866756.682	125832503.083
IPI00005737.1	 	SURF4	39099	6	22	178547030.737	192459360.896	162268274.111	234678962.588	244130649.673	146840482.722	151209365.673	179368066.614	196581087.963	150658312.935
IPI00030702.1	 	IDH3A	39099	5	8	137463967.232	138189403.203	119899848.459	182335075.8	169424707.906	67119185.729	63498081.217	73719565.135	84851203.782	59574305.296
IPI00007722.2	 	AMPD2	39099	15	23	262695521.812	260023495.772	237171160.396	372188680.349	308770270.393	138827415.715	133225177.036	145819238.823	169841852.441	133889292.936
IPI00479571.4	 	DTNBP1	39099	3	4	31512868.323	33267237.097	33320246.279	42157940.734	39057309.411	18822765.086	18090522.624	21438574.464	22300547.854	18696397.331
IPI00478862.4	 	BRP44L	39099	3	5	51674313.385	55918188.438	51488614.575	65261464.096	62010284.953	44707471.286	46020224.08	51242286.97	62112205.071	42506623.089
IPI00791117.1	 	TK1	39099	10	15	192230472.355	201736835.86	171525510.809	219418952.238	230776436.513	183420618.716	178604234.946	214677545.554	210464902.266	161449689.323
IPI00299155.5	 	PSMA4	39099	12	38	858965295.715	729497949.775	657899395.564	1091241594.03	1049606005.11	779714139.648	712165152.157	1019755346.53	719239901.271	788245166.162
IPI00060423.4	 	CTHRC1	39099	2	2	9551174.487	10697128.361	10275713.821	10376234.71	11862192.971	7394651.842	7714868.922	9911848.129	7184961.544	8408709.646
IPI00166865.3	 	CISD2	39099	8	17	293200686.752	330855788.792	318145440.233	387198263.265	353578403.124	287172442.133	302418189.039	333804731.458	372914965.833	271702018.551
IPI00003923.1	 	UMPS	39099	10	16	242673202.22	198841970.378	221564022.1	241264083.443	337728289.541	83422926.719	63264145.926	82215174.558	72908349.268	89983491.183
