gene_name	qssm	qupm	reference_label	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L
PKLR	52	17	131L	1.44376	1.64708	1.37119	1.22776	1.19985	1.26227	0.813251	1.33376	1.05782	1
DTYMK	13	8	131L	1.69997	1.86556	1.39599	1.28556	1.3479	1.4173	0.915872	1.46516	1.13496	1
ARHGAP1	5	5	131L	1.14255	1.07415	1.12082	0.921415	0.71106	0.802999	0.681458	1.50051	0.940735	1
BRE	8	5	131L	1.71619	2.00844	1.5165	1.40825	1.28814	1.38825	0.873972	1.58082	1.11446	1
RPL13A	9	9	131L	0.226722	0.375417	1.01621	1.05184	0.394098	0.36521	1.08728	1.44252	1.43675	1
RPLP1	1	1	131L	0.43208	0.546833	0.862926	1.00103	0.476347	0.534734	0.815541	1.06353	1.08742	1
RPLP2	5	2	131L	0.818051	0.887585	1.16519	1.0165	0.804877	0.80558	0.798744	1.20643	1.03701	1
RPLP0	7	4	131L	0.403766	0.610246	1.0023	1.04962	0.50954	0.532227	0.97769	1.2012	1.17625	1
TTR	2	1	131L	1.88222	1.62801	1.0016	1.34337	1.42965	1.19836	0.881711	1.02249	1.08233	1
RPL3	20	12	131L	0.25665	0.37956	0.948951	0.997898	0.383978	0.405345	1.01004	1.20218	1.33511	1
DPH1	6	4	131L	1.42066	1.66631	1.35737	1.23484	1.4909	1.34939	0.942367	1.62113	1.1219	1
HSPH1	13	11	131L	1.35471	1.42318	1.13281	1.29673	1.06408	1.02068	0.823044	1.16803	1.01982	1
MCM6	7	7	131L	0.876686	0.94865	1.03338	0.916474	0.789122	0.703367	0.682528	1.42769	0.962225	1
YAE1D1	1	1	131L	2.01102	2.08884	1.4802	1.41353	1.38285	1.39024	0.89973	1.5577	1.10742	1
TUBG1|TUBG2	5	4	131L	1.32864	1.38664	1.26104	1.22353	1.17783	1.35397	0.825649	1.24182	1.10705	1
CCT6B	2	2	131L	1.05019	1.22461	1.15856	1.10616	1.03664	1.09369	0.808923	1.02456	1.06882	1
H1FX	2	2	131L	0.415136	0.800424	1.20421	1.46148	0.667282	0.739577	0.816422	1.21257	1.05907	1
RPL6	5	5	131L	0.215043	0.393134	1.1067	1.64604	0.371562	0.384359	1.05622	1.87082	1.80484	1
POM121C|POM121	2	2	131L	1.52183	2.25871	1.33086	1.55601	1.74235	1.70993	1.17686	1.36153	1.35473	1
CEP192	1	1	131L	1.38925	1.64449	1.17821	1.20518	1.32956	1.28732	0.841107	1.4905	1.18962	1
NDE1	9	9	131L	1.43842	1.50791	1.16116	1.16412	1.20234	1.28986	0.838901	1.29226	1.14238	1
CYP20A1	1	1	131L	1.03857	1.16469	1.45758	1.0159	0.957472	0.999898	0.745113	1.13492	1.01204	1
FAM172A	1	1	131L	1.14032	1.17165	0.749624	0.766944	0.986695	0.902103	0.639938	1.06015	0.860714	1
NEU1	2	2	131L	1.79285	1.62823	1.46551	1.26571	1.26489	1.21983	0.806605	1.24273	1.15746	1
CCDC58	17	6	131L	1.58307	1.66076	1.2922	1.2738	1.20986	1.35887	0.784614	1.34973	1.00348	1
YTHDF2	2	2	131L	1.02281	1.16131	1.01112	1.12563	0.958347	1.05583	0.70308	1.47573	0.874905	1
ISOC1	23	8	131L	1.48677	1.62706	1.21561	1.25125	1.18967	1.34837	0.795813	1.32219	1.05745	1
FBXW7	1	1	131L	1.5667	1.21325	1.42698	0.91498	0.999827	0.663158	0.635672	0.687632	0.810525	1
PRKAR1A	4	4	131L	1.4101	1.67321	1.33162	1.25493	1.17375	1.2171	0.803112	1.40028	1.00451	1
R3HCC1	1	1	131L	1.16927	1.31823	1.09392	1.12978	1.09616	1.21453	0.733856	1.29463	1.39088	1
TRAPPC4	5	4	131L	1.39165	1.48165	1.10998	1.12074	1.18654	1.35146	0.826073	1.19639	1.18031	1
ASF1B|ASF1A	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DRG1	14	7	131L	1.53726	1.73598	1.40531	1.29436	1.25333	1.35454	0.88119	1.51685	1.07984	1
TPM3	16	5	131L	1.50678	1.43691	1.25399	1.17016	1.21129	1.36253	0.770613	1.40922	1.03992	1
ALB	14	9	131L	1.93175	2.20103	1.04544	1.06295	0.707056	0.79889	0.657703	1.02865	0.979223	1
EIF3CL|EIF3C	4	2	131L	1.26884	1.57299	1.19861	1.21173	1.13673	1.20114	0.885761	1.3345	1.13442	1
HMGCS1	17	10	131L	1.58394	1.60707	1.2059	1.13662	1.23548	1.37624	0.850545	1.3112	1.06269	1
GSPT2	4	1	131L	2.06591	2.26437	1.55085	1.65984	1.43632	1.05763	0.908768	1.50676	1.00973	1
SPAG7	8	6	131L	1.59025	1.63809	1.23686	1.11179	1.27391	1.42138	0.904701	1.33595	1.14713	1
CS	18	9	131L	1.65023	1.56569	1.32428	1.23577	1.30117	1.39668	0.865391	1.58432	0.98973	1
SEC22B	1	1	131L	1.24386	1.21292	0.873136	0.986848	0.885325	1.12142	0.716241	1.13724	0.983834	1
NTPCR	5	4	131L	1.61204	1.75935	1.45974	1.28372	1.30401	1.30503	0.936317	1.53397	1.05036	1
ACBD3	4	4	131L	1.26619	1.17658	1.2008	1.00851	1.00669	0.92432	0.776848	1.45628	1.00585	1
ARRB1	16	10	131L	1.58086	1.76869	1.24116	1.14102	1.30907	1.3623	0.944223	1.32832	1.09941	1
SLAIN2	1	1	131L	1.44027	1.57986	1.35643	1.18778	1.24141	1.12014	0.715425	1.48203	1.18111	1
SDCBP	1	1	131L	1.19085	0.956018	1.06598	1.09558	0.876422	1.00701	0.848085	1.31468	1.07962	1
RPAIN	2	2	131L	1.30141	1.27601	1.07883	1.14839	1.05801	1.22362	0.787905	1.3456	1.06947	1
OGFOD1	21	9	131L	1.58752	1.57914	1.24417	1.2594	1.25598	1.39423	0.873603	1.37433	1.11011	1
BCKDHA	2	2	131L	1.12858	1.39288	1.06714	1.10213	1.08539	1.10597	0.844563	1.10259	1.03668	1
COMMD10	1	1	131L	1.68474	1.66169	1.24944	1.20372	1.59163	1.43026	0.974588	1.52588	1.25392	1
NUP50	20	17	131L	1.86157	1.98836	1.44519	1.55688	1.39414	1.58305	0.851514	1.69231	0.975465	1
RNF2	2	2	131L	2.01035	1.22917	1.23937	1.04258	1.0475	1.05895	0.759729	1.17404	1.15674	1
EIF2S3	14	9	131L	1.33302	1.52575	1.24424	1.25757	1.11373	1.25483	0.848983	1.3563	1.17854	1
TUBE1	5	5	131L	1.38068	1.47798	1.21758	1.11445	1.20815	1.38449	0.856155	1.28844	1.11612	1
ARMC7	1	1	131L	1.41321	1.86064	1.38452	1.59224	1.28153	1.3103	0.678243	1.20973	1.04289	1
GPBP1L1	1	1	131L	1.74662	1.69474	1.14447	1.30483	1.27959	1.354	0.835415	1.49561	1.14135	1
HNRNPD	2	2	131L	1.49913	1.74313	1.50268	1.48136	1.21919	1.43263	0.745476	1.33458	0.949783	1
FAM120A	1	1	131L	0.751155	1.02634	0.942986	1.05862	1.01646	0.810346	0.940625	1.05188	1.18283	1
DKC1	17	14	131L	1.26651	1.43771	1.40237	1.28959	1.13184	1.21847	0.896117	1.40884	1.10051	1
KRT17	1	1	131L	2.22596	9.68851	0.548508	4.1906	3.29212	5.26732	1.86119	4.39551	1.51356	1
GM2A	8	5	131L	1.82736	1.83988	1.27152	1.27189	1.34585	1.56707	0.938182	1.39468	1.14511	1
PRDM2	1	1	131L	1.36188	1.44728	0.925239	1.2505	1.31316	1.27002	0.894974	1.01756	1.07806	1
HEMGN	32	12	131L	1.51702	1.701	1.15191	1.28386	1.18963	1.07171	0.873698	1.15683	1.14309	1
SLC1A4	1	1	131L	0.470311	0.780732	0.957169	1.83491	0.48947	0.476173	0.533737	0.877926	0.902389	1
FAM3C	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SOD2	24	6	131L	1.49526	1.39104	0.940392	1.15336	1.22159	1.25871	0.794578	1.03768	1.06988	1
PTK2	12	10	131L	1.57404	1.60753	1.17165	1.3017	1.24429	1.20894	0.915794	1.20994	1.06415	1
ENDOG	1	1	131L	1.3579	1.44738	0.810649	1.11497	0.919064	0.975009	0.778286	1.02118	0.63496	1
CTTN	76	27	131L	1.77921	1.69531	1.22585	1.38366	1.21247	1.21024	0.865596	1.42405	1.07674	1
MAP7	1	1	131L	0.921797	0.965875	0.918098	0.998227	1.10245	1.23155	0.982141	0.729357	1.07718	1
TTC39B	3	3	131L	1.19616	1.33	0.976965	1.26667	1.20278	1.44027	0.858266	1.15962	0.925573	1
EIF4A2	7	6	131L	1.37421	1.36653	1.15785	1.01554	1.30767	1.46045	0.939379	1.29748	1.12826	1
STRADA	7	5	131L	1.38754	1.49127	1.10339	1.14019	1.19049	1.31128	0.865025	1.22338	1.10378	1
C9orf72	3	3	131L	1.58087	1.80587	1.43035	1.33918	1.30306	1.29875	0.911026	1.40077	1.07692	1
PPP3CB	1	1	131L	1.53921	1.56088	1.25195	1.24156	1.32025	1.03419	0.696448	1.56528	0.906159	1
RPS11	15	7	131L	0.517789	0.943242	1.2746	1.37129	0.715655	0.737739	0.945512	1.40465	1.09099	1
WDR89	6	6	131L	1.30921	1.43603	1.33764	0.988938	1.28309	1.2705	0.944152	1.47369	1.15274	1
G6PD	82	27	131L	1.74115	1.86692	1.42697	1.57497	1.2661	1.43779	0.824647	1.44221	0.981748	1
CGGBP1	2	1	131L	1.00697	1.25805	1.08459	1.25029	1.02243	1.12706	0.917532	1.43567	1.03472	1
FAHD2A	18	8	131L	1.4856	1.61997	1.22116	1.24049	1.23142	1.40656	0.85791	1.31845	1.4196	1
LSM8	26	6	131L	1.5454	1.59763	1.23976	1.20272	1.2095	1.34897	0.851741	1.33084	1.0949	1
DCTN2	10	7	131L	1.2194	1.26865	1.21116	1.0625	0.941591	1.02795	0.706111	1.28114	1.01967	1
HEXA	15	7	131L	1.61857	1.68217	1.2321	1.17906	1.23615	1.35092	0.844421	1.29214	1.06827	1
GSN	4	2	131L	1.40753	1.44447	1.05421	1.14006	1.15917	0.986748	0.806014	1.1876	1.05426	1
IFITM2|IFITM3|IFITM1	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COPB2	23	18	131L	1.35207	1.56246	1.118	1.22523	1.02412	0.845291	0.728018	1.17472	1.03198	1
ACTN2	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC2A3|SLC2A14	1	1	131L	0.790062	1.03353	1.30215	1.555	0.634581	0.631039	0.597939	1.19023	0.920098	1
PRPS2	7	5	131L	1.3388	1.64784	1.71789	1.49744	1.08024	1.19066	0.786425	1.52838	0.939078	1
WDR4	16	10	131L	1.37572	1.42861	1.28738	1.14005	1.19159	1.28859	0.841119	1.22166	1.03793	1
UTP15	9	7	131L	1.35707	1.54476	1.39688	1.37684	1.27582	1.42734	0.867052	1.59932	1.0792	1
DNPH1	1	1	131L	1.33811	1.54169	1.10994	1.20834	1.1018	1.23377	0.799899	1.18143	0.932093	1
XPOT	5	5	131L	1.76433	1.66873	1.35758	1.4342	1.12932	1.02915	0.823356	1.17048	1.11935	1
CAPG	1	1	131L	1.02154	0.878528	0.915446	1.12995	0.992011	1.12802	0.85193	1.11566	0.832863	1
CARM1	33	15	131L	1.5006	1.6916	1.20142	1.35906	1.11654	1.35345	0.809581	1.24832	1.03495	1
COMT	3	3	131L	1.33765	1.64791	1.35429	1.29581	1.16991	1.1649	0.746858	1.39274	0.935716	1
SLC38A10	3	3	131L	1.10802	1.31261	1.03549	0.974211	0.986879	1.0773	0.76031	1.09586	1.01545	1
WDR91	1	1	131L	1.20201	1.49924	1.0101	1.0752	1.03558	1.52303	0.810877	1.23776	0.980676	1
ATF1	5	2	131L	1.07721	1.10144	0.905101	0.807737	0.904399	1.13059	0.747492	1.19018	1.05365	1
MCFD2	1	1	131L	1.10957	1.24981	1.14661	0.938189	0.893499	1.04269	0.888128	0.91509	1.31499	1
CSTA	11	5	131L	1.7876	2.18728	1.28872	1.22361	1.29293	1.31209	0.783019	1.57804	1.07467	1
FHL3	17	8	131L	1.31771	1.32499	0.998744	1.14042	1.01335	1.18455	0.70916	1.20636	0.930854	1
NDUFV2	8	5	131L	1.87137	2.03141	1.52962	1.36584	1.34845	1.33416	0.84709	1.5015	1.06445	1
PPP1R12A	2	2	131L	1.15714	1.27694	1.04778	1.18178	1.17881	1.2119	1.0102	1.38706	1.19647	1
HNRNPDL	9	6	131L	1.20726	1.28269	1.20475	1.11748	1.00126	1.0922	0.7827	1.21615	1.0026	1
PITHD1	31	11	131L	1.56271	1.60338	1.30983	1.226	1.24464	1.35887	0.878536	1.36497	1.13433	1
NUP160	4	4	131L	1.32496	1.5775	1.27163	1.40842	1.16046	1.07164	0.796099	1.23571	1.04122	1
LRBA	1	1	131L	1.22647	1.09267	1.10859	1.8979	1.29828	0.968738	1.72044	1.61642	0.959294	1
SPATA22|EPS15L1	4	4	131L	1.45473	1.47128	1.13543	1.21391	1.16759	0.958381	0.781125	1.22857	0.997871	1
LYPLAL1	2	2	131L	1.31922	1.35573	1.14301	1.00817	1.26204	1.1468	0.737976	1.39174	1.06625	1
CPQ	9	5	131L	2.00109	2.61323	1.77755	1.5916	1.36954	1.44576	0.883513	1.70558	1.09207	1
RNF126	1	1	131L	0.881381	1.19203	1.22541	1.00812	0.842338	0.791926	0.851777	1.20675	1.15703	1
FAU	2	2	131L	0.314368	0.251662	0.531495	0.796166	0.480884	0.817624	0.687692	0.61017	0.969369	1
UFD1L	14	10	131L	1.74956	1.47714	1.2581	1.36271	1.32498	1.43665	0.863534	1.42155	1.06443	1
WDR48	13	12	131L	1.58334	1.38884	1.1436	1.26139	1.16728	1.18754	0.784011	1.34945	0.953225	1
P4HB	136	32	131L	1.56823	1.62435	1.38576	1.2991	1.13414	1.33134	0.784934	1.39385	1.04452	1
CUX1	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JUN	1	1	131L	1.90721	1.09733	1.29048	1.11215	1.20366	1.15035	0.906271	1.13738	1.15209	1
GRPEL1	3	3	131L	2.10342	2.18504	1.85297	1.49326	1.26223	1.12534	0.764277	2.232	0.944049	1
BECN1	3	3	131L	1.34472	1.48557	1.19345	1.10229	1.12675	1.10162	0.784873	1.34213	1.01164	1
FAM96A	9	3	131L	1.17481	1.22537	1.00698	1.32623	1.01241	1.3659	0.807372	0.981351	0.983041	1
HK1	12	10	131L	1.3533	1.52184	1.14886	1.25724	1.11659	0.921365	0.784783	1.01142	1.03502	1
HYPK	21	6	131L	1.22951	1.38791	1.16805	1.14724	1.16582	1.32065	0.864524	1.24428	1.09264	1
RAB20	1	1	131L	1.45406	1.60949	1.10921	1.18738	1.10902	1.40523	0.797008	1.18448	0.838559	1
LYAR	3	3	131L	0.426944	0.503705	0.925228	1.00292	0.527825	0.524537	0.979285	1.2773	1.22355	1
TRIM44	3	2	131L	1.36127	1.33622	1.18183	1.12769	1.08794	1.29938	0.792781	1.20889	0.995224	1
RSPRY1	1	1	131L	1.01707	1.0261	0.878459	0.893882	1.00928	1.12405	0.812318	1.06167	1.09059	1
ASB9	1	1	131L	1.34515	1.72605	1.09628	1.56151	1.01778	1.1973	0.767719	1.40552	0.983827	1
PPOX	1	1	131L	1.40479	1.51076	1.33271	1.07447	1.28506	1.16735	0.883638	1.30017	0.959954	1
GMPR2	6	5	131L	1.29629	1.3671	1.1597	1.10809	1.1799	1.32314	0.818134	1.20913	1.00072	1
EHMT2	2	2	131L	0.930208	0.971823	1.23147	0.988893	1.09737	1.08411	0.935211	1.07147	1.33486	1
MTHFD2	21	10	131L	1.52662	1.4381	1.40013	1.31148	1.26563	1.49823	0.835921	1.58109	0.984557	1
GFER	1	1	131L	1.91082	2.00323	1.6055	1.36548	1.55546	1.60597	0.916766	1.55019	1.08752	1
PDIA4	15	11	131L	1.4962	1.39582	1.31367	1.36894	0.997269	1.09868	0.699122	1.28363	0.968649	1
PYCRL	2	1	131L	1.6488	1.86007	1.43123	1.21757	1.26056	1.28781	0.776743	1.46169	1.06453	1
PANK1	1	1	131L	1.23622	1.37553	0.978017	0.849192	1.00869	1.06072	0.789911	1.41118	1.06249	1
AES	1	1	131L	1.65409	2.0544	1.21645	1.59665	1.2289	1.25383	0.733057	1.38029	0.949417	1
MAPK3	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF3G	1	1	131L	0.757008	1.39836	0.700434	0.415928	0.811531	0.682339	0.883944	0.668145	1.33445	1
ACP1	4	1	131L	1.24423	0.929506	0.936685	1.24034	1.25098	1.33606	0.840024	0.972489	0.890634	1
PLBD2	12	9	131L	1.7862	1.85467	1.42176	1.33463	1.25502	1.38577	0.790907	1.47162	1.05789	1
THG1L	14	8	131L	1.20725	1.28992	1.13775	0.961263	1.04757	1.1772	0.776214	1.08274	1.26345	1
AURKA	1	1	131L	1.64456	1.99039	1.54282	1.36394	1.36645	1.60232	0.900917	1.86549	0.860877	1
ZNF428	7	4	131L	1.49504	1.40324	1.14195	1.04712	1.11354	1.41903	0.819349	1.32352	1.06069	1
SLC25A6	1	1	131L	0.815168	0.776267	1.0533	1.14981	0.591076	0.784154	0.775702	1.50612	0.94377	1
NIT2	14	10	131L	1.64962	1.7736	1.18022	1.33481	1.2545	1.42486	0.844648	1.32077	1.06618	1
SPRY4	2	2	131L	0.976096	1.08103	0.921316	1.19776	0.944464	1.23161	0.645899	1.11281	0.910352	1
LDHD	2	2	131L	1.23296	1.38829	1.1782	1.16656	0.991436	1.27712	0.741973	1.1534	0.954614	1
ACN9	1	1	131L	1.84781	1.84111	1.15565	1.35831	1.42202	1.65178	0.902789	1.54903	1.19993	1
TXNDC2	2	2	131L	1.27886	1.38828	0.985078	1.17184	1.1422	1.15296	0.788883	1.02806	1.05215	1
GLCCI1	3	3	131L	1.48463	1.27153	1.02326	1.13112	1.06451	1.13461	0.767703	1.15187	1.031	1
ACCS	5	4	131L	1.60949	1.70142	1.35793	1.18643	1.27501	1.37208	0.806294	1.37704	1.11894	1
ATXN3	1	1	131L	1.10323	1.11325	1.10941	0.963232	1.02587	1.10698	0.847732	1.22142	1.07345	1
ATN1	4	2	131L	1.69832	1.78193	1.19471	1.48203	1.3832	1.36961	0.934222	1.34556	1.25865	1
ITGB1	1	1	131L	0.976178	1.17158	1.10816	1.52309	0.854219	0.955376	0.690843	1.08193	1.02259	1
SNRPB	31	7	131L	1.42225	1.52148	1.27137	1.21308	1.17794	1.2364	0.841127	1.38969	1.16946	1
YKT6	15	8	131L	1.58734	1.68151	1.31304	1.26664	1.26257	1.38197	0.896791	1.37207	1.09469	1
TSNAX	38	12	131L	1.62787	1.68181	1.39772	1.39154	1.25086	1.41282	0.831529	1.42198	1.08584	1
OGDH	5	5	131L	1.18742	1.43435	1.17761	1.36841	1.06758	0.940172	0.755196	1.03461	1.1488	1
SCAF11	4	4	131L	1.47374	1.54373	1.14401	1.36584	1.18792	1.13421	0.956301	1.16226	1.14101	1
NUDCD3	1	1	131L	1.38185	1.49794	1.35304	1.17856	1.01408	0.985236	0.685511	1.32236	0.933767	1
PCCB	14	8	131L	1.40726	1.62594	1.3021	1.24671	1.19475	1.27283	0.831101	1.22201	0.990999	1
GLUL	22	12	131L	2.22094	2.35228	2.04207	1.7305	1.44891	1.53173	0.874786	1.45218	1.11506	1
APAF1	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSMC3	11	8	131L	1.03292	1.21465	1.29418	1.23048	0.986122	1.09678	0.85762	1.24137	1.05928	1
SCLY	11	8	131L	1.54106	1.62283	1.38324	1.26635	1.1892	1.34519	0.923317	1.32194	1.12353	1
PPP2R4	1	1	131L	1.18515	1.01036	0.990316	0.8136	1.00057	1.17527	0.893312	0.875538	1.06889	1
PPP2R4	28	10	131L	1.61454	1.70249	1.23944	1.21303	1.32799	1.45865	0.878978	1.34308	1.10408	1
AKR1C1	6	5	131L	2.0008	2.03472	1.46577	1.48695	1.18675	1.43529	0.812693	1.49571	1.23513	1
WDR43	16	9	131L	1.36129	1.43921	1.20561	1.1782	1.12698	1.18788	0.838189	1.28912	1.01074	1
ACOX1	14	10	131L	1.22499	1.24723	1.09785	1.07156	0.902427	1.13919	0.700625	1.06541	1.00837	1
VCX3A|VCX|VCX2	4	3	131L	1.8556	2.03732	1.48766	1.2637	1.3008	1.36651	0.815893	1.47909	1.12757	1
RNASET2	2	1	131L	1.65091	1.65697	1.13123	0.984156	1.2942	1.43077	0.951351	1.38059	1.25758	1
ZWINT	2	2	131L	1.31827	1.24922	1.09102	1.05055	1.06144	1.20988	0.740549	1.24251	1.07844	1
C6orf57	1	1	131L	0.971276	1.26745	0.943413	0.692518	1.2927	1.26122	0.468852	1.14854	0.905892	1
RPA2	15	5	131L	1.65828	1.77033	1.34922	1.28207	1.24371	1.55259	0.896398	1.43647	1.08112	1
DSP	3	3	131L	2.00838	2.4164	1.31418	2.75392	2.72313	3.69334	1.71163	3.71214	1.38463	1
MRPL30	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNMT	22	16	131L	1.5184	1.76069	1.31274	1.42272	1.28584	1.46937	0.847602	1.47702	1.08709	1
DHX15	103	35	131L	1.64864	1.72945	1.18046	1.28451	1.24277	1.11883	0.865119	1.42074	1.05227	1
CNBP	53	10	131L	1.53664	1.76936	1.43314	1.2492	1.28746	1.3707	0.870014	1.36778	1.09487	1
UBAC1	9	6	131L	1.41763	1.49704	1.1967	1.11991	1.08949	1.07974	0.800859	1.40852	1.04289	1
CTIF	2	2	131L	1.16499	1.26906	1.28139	1.03725	1.01418	1.17808	0.686398	1.13679	0.964833	1
MAP3K19	1	1	131L	1.31684	1.60147	1.04597	0.876224	1.19967	1.29565	0.740335	1.3585	1.15406	1
CBLB	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBR2	7	6	131L	1.7083	1.95328	1.52077	1.64164	1.45417	1.2947	0.94421	1.29859	1.23116	1
EIF5A	20	7	131L	1.44961	1.48921	1.19683	1.12132	1.09715	1.21283	0.793791	1.34501	1.01546	1
GNB2L1	23	11	131L	0.672459	0.910164	1.16769	1.21533	0.781291	0.802955	0.890699	1.28019	1.03836	1
PDAP1	13	4	131L	1.15082	1.1896	1.15968	1.02726	0.924654	1.1085	0.771448	1.27381	1.12152	1
CAPRIN1	0	0	131L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEA1	4	2	131L	1.46839	1.8272	1.34974	1.32495	1.27108	1.31036	0.801565	1.53246	1.07437	1
NFE2	1	1	131L	1.62758	1.67632	1.12821	1.09867	1.14773	1.09007	0.805232	1.56261	1.12945	1
SRSF7	2	2	131L	1.02248	1.34462	1.22365	1.03045	0.916751	0.82649	0.768445	1.32092	0.965509	1
RAB24	3	3	131L	1.2447	1.05482	0.924688	0.988432	1.12145	1.34098	0.831601	1.07982	1.03119	1
COMMD6	1	1	131L	1.25555	1.55819	1.28539	1.05305	1.09941	1.09219	0.859014	1.23158	0.970902	1
TRMT11	8	6	131L	1.61311	1.75531	1.28869	1.27575	1.3214	1.46151	0.868708	1.48214	1.07132	1
NT5C2	24	12	131L	1.69095	1.89733	1.31041	1.40815	1.31806	1.43287	0.912723	1.46013	1.51626	1
SEPHS1	23	9	131L	1.33323	1.34153	1.15454	1.10565	1.13852	1.35458	0.824081	1.19627	1.0575	1
