gene_name	qssm	qupm	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L
PKLR	46	14	0.0201131	0.0862537	0.423702	0.67723	0.739397	0.795631	0.952469	0.989527	1.17822	1
SMEK2	5	4	0.0361493	0.0802084	0.0713888	0.115771	0.111722	0.167312	0.519014	0.813186	0.943152	1
DTYMK	7	4	0.0853712	0.104823	0.151499	0.385856	0.717283	0.870026	1.05031	1.00395	1.11917	1
NDE1	4	4	0.250145	0.233373	0.252141	0.355343	0.518669	0.532674	0.842149	0.963833	0.970524	1
ARHGAP1	17	8	0.0139206	0.0444772	0.0817966	0.0858863	0.186827	0.71393	0.96417	1.02187	1.06825	1
RPL13A	3	2	0.176081	0.0962174	0.113163	0.16843	0.32226	0.479746	2.03528	1.88764	1.92902	1
CCDC88C	3	3	0.00862068	0.0109486	0.0199251	0.035266	0.0889524	0.0798829	0.164396	0.408981	0.900028	1
POGK	2	2	0.0223819	0.0445781	0.0605296	0.0810426	0.0763052	0.111209	0.175696	0.652368	0.883723	1
TXNIP	4	4	0.0300819	0.0854033	0.0873044	0.188871	0.235319	0.175716	0.544121	0.878872	1.08469	1
MCM6	30	15	0.014674	0.0193378	0.0313479	0.0450781	0.159364	0.610328	1.02745	1.09226	1.04831	1
TUBG1|TUBG2	4	3	0.0607996	0.124972	0.145384	0.349496	0.565209	0.395932	0.605134	0.798257	1.10077	1
TSPYL5	2	1	0	0	0.00426541	0	0.141692	0.530987	0.683299	0.919314	0.94602	1
H1FX	1	1	0	0	0.0803379	0.0646395	0.156712	0.292298	1.23101	1.18153	1.47437	1
TONSL	3	3	0.00376145	0.0175379	0.0400099	0.0296553	0.0510825	0.0631912	0.171813	0.222128	0.719266	1
TRPV2	1	1	0	0.0383707	0.0810764	0.0558963	0.355586	0.761219	1.08468	1.19317	1.65031	1
FAM172A	1	1	0.0154621	0.0662462	0.100456	0.0987324	0.387078	0.527276	0.74064	1.02164	1.09961	1
PPP1R13L	1	1	0.033421	0.0493758	0.162061	0.129879	0.330499	0.521214	0.791631	0.910504	1.28743	1
ALKBH8	1	1	0.0301769	0.0123534	0.123323	0.102223	0.164796	0.178268	0.547614	0.69937	0.979382	1
FNBP1	2	1	0.0248888	0.0433418	0.0432585	0.101716	0.125514	0.118786	0.460435	0.836423	0.966954	1
USP28	3	3	0	0.00898849	0.0180712	0.0448449	0.0588518	0.0665627	0.133544	0.529093	0.988643	1
NUB1	6	6	0.00136217	0.00720271	0.00610992	0.012729	0.0143956	0.0177733	0.185848	0.706198	1.04797	1
FHL3	8	4	0.531439	0.646339	0.623451	0.814245	0.785832	0.934249	1.00098	1.04899	1.1092	1
YTHDF2	4	2	0.00669647	0.0089017	0.0210521	0.0496413	0.11131	0.280553	0.642471	0.81043	0.978345	1
GCC1	2	2	0.00641267	0.00996078	0.00951145	0.0709787	0.0766366	0.0928009	0.130808	0.477596	0.8035	1
ISOC1	16	7	0.0321339	0.0485336	0.244062	0.678334	0.747431	0.81544	0.86605	0.961453	1.05084	1
PRKAR1A	2	2	0.0319756	0.0853773	0.127565	0.186669	0.378445	0.528469	0.862753	1.14634	1.14579	1
TRAPPC4	8	5	0.021076	0.0617918	0.137874	0.344081	0.47005	0.467792	0.761896	0.922675	0.968738	1
DKFZp781N011|FBXW11|BTRC	1	1	0	0.0363096	0.0382856	0.0372689	0.278688	0.376423	0.618091	0.599276	1.06739	1
ASF1A	2	1	0.00272756	0.00925061	0.0147197	0.0416662	0.421888	0.824041	1.07882	1.22938	1.1733	1
DRG1	23	8	0.0106803	0.0171182	0.0617531	0.226825	0.483154	0.683924	0.888	0.984204	1.03609	1
DESI1	1	1	0.00754525	0.0295113	0.0237553	0.0257021	0.0980438	0.154075	0.293208	0.690253	0.97374	1
POT1	1	1	0.0822118	0.211124	0.150963	0.109383	0.234532	0.310779	0.644105	0.81243	1.02127	1
