gene_name	qssm	qupm	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L
RPP40	1	1	0.0896372	0.425729	0.402764	1.12818	1.46259	1.43048	1.25513	1.46148	1.09048	1
PKLR	49	21	0.0214941	0.101607	0.414697	0.658582	0.677141	0.83409	1.00918	0.976087	0.82283	1
SMEK2	4	4	0.0330777	0.0496123	0.0523593	0.0794151	0.102997	0.182589	0.521783	0.810238	0.736064	1
FARP2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTYMK	7	3	0.0119087	0.0524831	0.224106	0.738954	0.88618	0.963725	1.04334	1.13099	0.926235	1
NDE1	4	4	0.247587	0.213395	0.223497	0.367799	0.378319	0.569225	0.742177	0.815808	0.72656	1
ARHGAP1	16	7	0.0239903	0.041162	0.0550986	0.0732648	0.178761	0.659548	0.941453	1.04234	0.860056	1
RPL13A	2	2	0.261789	0.33991	0.281501	0.855203	0.348362	0.62501	1.24467	1.02443	0.891121	1
RPLP2	4	2	1.56187	1.20405	0.257703	0.384914	0.268041	0.362325	0.532704	0.830739	1.55609	1
MRPS21	2	2	0.0437538	0.115315	0.0938981	0.195013	0.261032	0.667263	1.171	0.776115	0.966887	1
CCDC88C	1	1	0	0.00973766	0.0548296	0.00893865	0.768553	0.0155113	0.027032	0.305884	0.578902	1
POGK	1	1	0.0372029	0.0893019	0.081552	0.11579	0.158458	0.245815	0.382849	0.724475	0.820032	1
TXNIP	4	3	0.0104577	0.0284375	0.0348119	0.0309855	0.0908376	0.175039	0.451149	0.62261	0.736615	1
RBM39	4	3	0.0341148	0.0478338	0.0489133	0.0518005	0.0699705	0.127508	0.445845	0.683452	0.739786	1
MCM6	39	21	0.0263817	0.0383993	0.0425218	0.0526487	0.281844	0.945523	1.12472	1.03131	0.832046	1
YAE1D1	2	2	0.0203373	0.0615858	0.165297	0.301753	0.454357	0.608884	0.843803	0.934591	0.83463	1
TSPYL5	2	1	0.0113221	0.0184116	0.029017	0.0292171	0.153176	0.603891	0.960471	1.02037	0.920168	1
H1FX	2	1	0.0251276	0.0625574	0.0633906	0.12878	0.191361	0.391334	0.802354	0.778271	0.71446	1
RBM8A	1	1	0.0317899	0.0428222	0.129303	0.131546	0.199274	0.599448	0.790962	0.920102	0.890471	1
METTL14	3	2	0.188904	0.0926167	0.108736	0.152558	0.373534	0.738346	1.01172	1.03596	0.76555	1
ALKBH8	4	3	0.0234144	0.0348659	0.0481753	0.0485033	0.0770073	0.10368	0.392918	0.784378	0.710191	1
NEU1	4	3	0.0730086	0.079898	0.157181	0.339615	0.377248	0.556062	0.705707	0.881693	0.826249	1
CCDC58	11	5	0.622149	1.31236	1.3031	1.63875	1.33966	1.39655	1.23998	1.1443	0.980492	1
FNBP1	7	5	0.0172126	0.0494266	0.0461136	0.0562417	0.0705747	0.146812	0.519902	0.856386	0.739124	1
USP28	2	2	0.0132628	0.0279243	0.0325004	0.0347268	0.0468251	0.0557262	0.131811	0.536701	0.634717	1
NUB1	12	7	0.0147996	0.0263114	0.033113	0.0331111	0.049596	0.0637412	0.256284	0.68493	0.746981	1
YTHDF2	6	3	0.0252616	0.0420502	0.0400283	0.0676267	0.126699	0.36312	0.735546	0.845934	0.815098	1
GCC1	3	3	0.00561619	0.00889127	0.00826017	0.0187611	0.165033	0.0431186	0.0961775	0.39425	0.670025	1
ISOC1	21	8	0.0280767	0.0427753	0.2631	0.697231	0.711101	0.888838	1.06018	1.06082	0.847876	1
LRRC45	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKAR1A	4	4	0.0559898	0.0785229	0.109611	0.193504	0.321921	0.503339	0.945998	1.05724	0.853938	1
PBX2	6	3	0.0212161	0.0447271	0.0709079	0.0735302	0.111718	0.252089	0.56659	0.882241	0.793588	1
TRAPPC4	9	4	0.0336557	0.0465128	0.103752	0.336225	0.430042	0.490552	0.778527	0.896635	0.792794	1
DKFZp781N011|FBXW11|BTRC	1	1	0.00971213	0.0377293	0.0834979	0.0783977	0.227373	0.482503	0.763311	0.754935	0.740037	1
ASF1A	1	1	0.00513855	0.00629844	0.0422372	0.138311	0.375139	0.687683	0.973521	1.12331	0.869472	1
GORAB	1	1	0.0181928	0.0347534	0.0750727	0.0499394	0.110752	0.245263	0.687897	0.927622	0.817639	1
TPM3	1	1	0.334363	0.435905	0.534169	0.620587	0.551462	0.891286	0.878141	0.846579	0.688514	1
TTC1	10	5	0.335122	0.355647	0.409299	0.800288	0.791086	0.898789	1.05865	1.08892	0.920717	1
STK25	1	1	0	0	0.0140611	0.013547	0.0823101	0.454035	0.911205	1.02491	0.806416	1
KPNA3	5	2	0.0139943	0.0239179	0.0204919	0.0542651	0.350834	0.612195	0.830092	0.961907	0.793487	1
HMGCS1	10	4	0.0299095	0.0452754	0.159165	0.480257	0.66548	0.927633	1.05695	1.05471	0.826865	1
RPLP0	6	4	0.0231395	0.121923	0.120254	0.266889	0.198243	0.23276	0.580437	0.842742	0.825088	1
GSPT2	1	1	0	0.0314438	0.0814275	0.170709	0.564522	0.805803	1.0836	0.918268	0.880073	1
SPAG7	10	5	0.166426	0.21086	0.249967	0.346646	0.466956	0.707176	0.905391	0.941272	0.816842	1
SEC22B	1	1	0.051802	0.186349	0.180395	0.422417	0.637279	0.794015	0.817421	0.795294	0.872027	1
NUDCD3	9	7	0.0169949	0.0667422	0.0946503	0.105371	0.113755	0.284678	0.74428	0.951858	0.8085	1
E4F1	1	1	0.0775122	0.0992251	0.0686743	0.210399	0.233668	0.476064	0.55774	0.718518	0.594276	1
NTPCR	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNBP	21	7	0.22951	0.261885	0.305188	0.441628	0.549019	0.74906	0.981176	0.985034	0.857302	1
IL16	2	1	0.0244019	0.0241888	0.0377834	0.0263129	0.237305	0.650877	1.01097	1.03794	0.782012	1
CKAP5	43	26	0.0260971	0.035426	0.0348716	0.0478368	0.0555625	0.0759482	0.480417	0.823893	0.737562	1
WHSC2|NELFA	6	3	0.00776547	0.0216042	0.0423609	0.0372147	0.0798225	0.124523	0.290775	0.681663	0.816067	1
CDR2L	3	2	0.0297723	0.0878242	0.256772	0.445125	0.45036	0.629964	0.843816	0.937649	0.793821	1
ARRB1	20	10	0.0255118	0.0434895	0.112719	0.514375	0.685585	0.910312	1.02877	1.05966	0.851229	1
HNRNPM	1	1	0.0928453	0.104363	0.123134	0.121273	0.132487	0.155944	0.449989	0.929877	0.810559	1
