gene_name	qssm	qupm	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L
PKLR	58	16	1.1975	1.21005	1.15469	1.12236	1.07279	1.15363	0.921671	1.10698	1.10388	1
SIAH2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTYMK	16	8	1.2664	1.25955	1.07156	1.21234	1.10951	1.23672	0.996025	1.22135	1.16276	1
NDE1	11	11	1.26122	1.37352	1.12679	1.22462	1.17233	1.22251	0.986683	1.19959	1.15706	1
ARHGAP1	4	3	2.13095	2.05263	1.10981	1.21231	1.06731	1.55836	1.12795	1.28564	1.16463	1
ANKRD10	1	1	1.45363	1.20523	1.1341	1.09308	0.887591	1.13846	0.602441	0.788359	0.97148	1
BRE	9	6	1.20977	1.34265	1.02776	1.14829	1.14175	1.11785	0.918113	1.16902	1.10405	1
RPL13A	12	10	0.496204	1.33671	0.150623	0.27763	0.618265	0.575889	0.338214	0.569619	0.286906	1
SPECC1	1	1	1.19268	1.21563	1.00708	1.16639	1.12172	1.1565	0.941561	1.29729	1.22205	1
ALB	8	4	0.903043	1.38319	1.19752	1.27077	1.02224	1.07543	1.54583	1.46227	1.31556	1
RPLP2	1	1	0.756768	1.74597	0.322601	0.431707	0.812099	0.728728	0.482315	0.782417	0.467508	1
RPLP0	14	7	0.640266	1.26316	0.244035	0.376272	0.703626	0.719519	0.431263	0.609507	0.379893	1
AHSG	1	1	1.16359	1.03852	0.817397	0.771312	1.16716	1.95469	1.40476	0.930393	0.892648	1
TTR	2	1	1.67698	1.21695	1.19882	1.33762	1.30742	1.03467	1.27709	1.53677	1.31288	1
RPL3	23	12	0.534008	1.18564	0.128554	0.271843	0.642014	0.617708	0.34024	0.52689	0.319127	1
DPH1	7	4	1.1621	1.19956	1.32118	1.53433	1.11631	1.51028	1.20066	1.2321	1.38704	1
MCM6	8	8	1.41107	0.953982	0.765235	0.926435	0.822486	1.06245	1.06751	1.15325	1.12301	1
YAE1D1	2	2	1.3485	1.44302	1.0704	1.27218	1.18984	1.43099	1.04129	1.22561	1.2208	1
CCT6B	1	1	1.29691	1.348	0.853001	1.15015	1.27083	1.17046	0.6325	0.852052	1.233	1
FAM3C	1	1	1.38436	1.20291	1.02257	0.953204	1.04778	1.1847	0.916616	1.15647	0.741929	1
H1FX	6	3	0.96176	1.47025	0.42139	0.715828	0.998287	0.968645	0.666517	0.86575	0.638553	1
RBM8A	7	5	1.25111	1.27482	1.05858	1.09186	1.0697	1.25869	0.985103	1.06117	1.07828	1
RPL6	7	7	0.352333	1.08845	0.0698448	0.191458	0.500996	0.501668	0.232353	0.435501	0.18766	1
CEP192	1	1	1.18717	1.13221	1.08617	1.15819	1.11308	1.28484	0.884049	1.13134	1.31046	1
CCDC58	18	7	1.13247	1.18843	0.955296	1.09961	0.989395	1.07847	0.837289	1.04894	1.01358	1
FHL3	9	4	1.096	1.10406	0.831223	0.978453	1.03737	1.08897	0.882883	1.04217	1.03521	1
YTHDF2	2	2	1.02597	1.25182	0.704742	0.988928	0.846131	1.16033	0.915769	0.901882	1.02616	1
ANKRD27	1	1	0.871463	0.622645	0.695198	0.876878	0.607205	1.08052	0.713664	0.493248	1.80721	1
ISOC1	19	8	1.32315	1.33216	1.12754	1.21894	1.13561	1.18057	0.897218	1.11555	1.13882	1
FBXW7	1	1	1.2088	0.950284	0.904727	0.930044	0.893893	0.9885	0.855695	0.890867	0.996222	1
PRKAR1A	4	4	1.36677	1.4207	1.18612	1.35521	1.17563	1.31505	1.11706	1.23419	1.28947	1
TRAPPC4	5	2	1.317	1.35943	1.09882	1.26598	1.15014	1.23779	1.06823	1.26601	1.27003	1
ASF1A	3	2	1.15926	1.6024	0.855453	1.03499	0.85584	1.01064	0.917872	0.90325	1.04514	1
DRG1	13	7	1.11732	1.30871	0.910497	0.995749	1.09603	1.24096	0.965748	1.09815	1.00522	1
TPM3	26	6	1.04817	1.13227	0.901106	1.07413	0.941362	1.06375	0.780297	0.982179	0.924159	1
ZW10	1	1	1.37618	1.13365	0.478682	0.692459	0.658762	0.98428	0.6317	0.717855	0.829321	1
KPNA3	1	1	1.74715	1.58068	1.47826	1.61466	1.36455	1.5177	1.2486	1.3031	1.39491	1
EIF3CL|EIF3C	4	4	1.16667	1.15646	0.978199	0.989592	1.04995	1.11446	0.919649	1.11047	1.12686	1
HMGCS1	18	12	1.39598	1.27113	1.12054	1.21777	1.1198	1.25477	1.01302	1.21115	1.18707	1
GSPT2	3	1	1.72472	1.87384	1.61942	1.775	1.2043	1.19338	1.0857	1.28541	1.26433	1
SPAG7	12	7	1.27169	1.20065	1.03917	1.14976	1.08945	1.25315	0.990003	1.13108	1.19895	1
